Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;GLP;01/07/2024;125,00;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;GLP;01/07/2024;127,00;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;GLP;01/07/2024;113,00;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;GLP;01/07/2024;105,00;;R$ / 13 kg;AMAZONGÁS
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0002-82;ESTRADA JARBAS PASSARINHO;115;;PLACAS;69900-970;GLP;01/07/2024;118,00;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO CANINDE LTDA; 05.442.544/0001-27;RODOVIA AC 40;3206;KM 07;VILA ACRE;69902-450;GLP;01/07/2024;105,00;;R$ / 13 kg;AMAZONGÁS
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;GLP;01/07/2024;118,00;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;GLP;01/07/2024;109,00;;R$ / 13 kg;AMAZONGÁS
N;RO;PORTO VELHO;POSTO MAIA LTDA; 02.745.235/0001-38;AVENIDA NAÇÕES UNIDAS;238;;NOSSA SENHORA DAS GRAÇAS;78915-040;GLP;01/07/2024;120,00;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;RORAIPETRO RORAIMA PETROLEO LTDA; 00.581.612/0002-04;AVENIDA GENERAL ATAIDE TEIVE;4412;;CAIMBE;69312-218;GLP;01/07/2024;135,00;;R$ / 13 kg;FOGAS
S;RS;CAXIAS DO SUL;POSTO RAMAR - COMERCIO DE COMBUSTIVEIS LTDA.; 05.379.733/0001-00;AVENIDA SAO LEOPOLDO;940;;SAO LEOPOLDO;95097-350;GLP;01/07/2024;115,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;CAXIAS DO SUL;POSTO DE SERVICOS BALDISSERA LTDA; 89.279.996/0001-20;RUA MOREIRA CESAR;686;;SAO JOSE;95034-000;GLP;01/07/2024;99,90;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;AUTO POSTO L.C LTDA; 04.583.300/0001-00;RUA MOREIRA CESAR;2290;;PIO X;95034-000;GLP;01/07/2024;105,00;;R$ / 13 kg;LIQUIGÁS
S;RS;CAXIAS DO SUL;SQUIZZATO COMERCIO DE COMBUSTIVEIS LTDA; 00.547.721/0001-16;RUA ALEXANDRE RIZZO;877;;DESVIO RIZZO;95110-000;GLP;01/07/2024;100,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;SC;BLUMENAU;POSTO ITOUPAVAZINHA LTDA; 02.714.732/0001-79;RUA FREDERICO JENSEN;1080;;ITOUPAVAZINHA;89066-301;GLP;01/07/2024;121,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;COMERCIO DE COMBUSTIVEIS GENESIS LTDA.; 05.740.272/0001-41;AVENIDA CONSELHEIRO NEBIAS;243;;VILA MATIAS;11060-003;GLP;01/07/2024;117,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;COMERCIAL ALVORADA CENTER LTDA; 46.198.081/0001-87;AVENIDA AFFONSO PENNA;55;;BOQUEIRAO;11020-000;GLP;01/07/2024;118,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO PEDRO LESSA LIMITADA; 58.186.198/0001-20;AVENIDA PEDRO LESSA;2231;;EMBARE;11025-003;GLP;01/07/2024;119,90;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;COMERCIO E SERVICOS AUTOMOTIVOS TROPICAL LTDA.; 52.864.790/0001-57;AVENIDA NOSSA SENHORA DE FATIMA;61/63;;CHICO DE PAULA;11085-202;GLP;01/07/2024;115,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO JABUCA LTDA; 47.773.510/0001-65;AVENIDA DR WALDEMAR LEAO;280;;JABAQUARA;11013-600;GLP;01/07/2024;122,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;LINHA UM PRODUTOS DE PETROLEO LTDA; 45.046.547/0001-66;AVENIDA NS DE FATIMA;635;;AREIA BRANCA;11085-203;GLP;01/07/2024;109,90;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO NOVO MILENIO LTDA; 03.542.311/0001-70;RUA CONSELHEIRO RODRIGUES ALVES;385;;MACUCO;11015-203;GLP;01/07/2024;119,90;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO JOSE DO RIO PRETO;VITORIA COMERCIO DE DERIVADOS DE PETROLEO LTDA.; 64.545.346/0001-58;AVENIDA DOUTOR ANTONIO MARQUES DOS SANTOS;1041;;JARDIM SEYON;15050-500;GLP;01/07/2024;110,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO CECAP LTDA; 55.873.269/0001-74;AVENIDA FORTUNATO ERNESTO VETORAZZO;650;;JARDIM RESIDENCIAL VETORASSO;15040-300;GLP;01/07/2024;115,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO UNIVERSITÁRIO LTDA.; 45.099.165/0001-09;AVENIDA BRIGADEIRO FARIA LIMA;5928;;VILA  SAO  MANOEL;15090-000;GLP;01/07/2024;109,00;;R$ / 13 kg;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ZAFANI RIO PRETO LTDA; 03.389.606/0001-59;AVENIDA MONTE APRAZIVEL;2890;;ELDORADO;15043-450;GLP;01/07/2024;105,00;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;COTAM - COOPERATIVA DE CONSUMO DOS TAXISTAS AUTONOMOS DE MANAUS; 02.533.862/0001-05;AVENIDA BURITI;1569;C/ WALDOMIRO LUSTOZA;DISTRITO INDUSTRIAL;69075-001;GLP;01/07/2024;133,00;;R$ / 13 kg;FOGAS
N;AM;MANAUS;ITA LUCAS LTDA; 01.682.336/0001-44;AVENIDA COSME FERREIRA;329;;ALEIXO;69083-000;GLP;01/07/2024;130,50;;R$ / 13 kg;FOGAS
N;AM;MANAUS;MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA; 84.110.394/0001-20;AVENIDA BURITI;2975;;DISTRIT INDUSTRIAL I;69075-000;GLP;01/07/2024;113,99;;R$ / 13 kg;FOGAS
